FORCE,TOT_DEF,DIRECT_DEF,EQV_STR,EQV_STRESS,STR_ENERGY,CONDITION
50,5.22E-07,4.31E-08,1.39E-05,2.50E+06,3.04E-07,SAFE
75,7.84E-07,6.47E-08,2.09E-05,3.74E+06,6.84E-07,SAFE
100,1.05E-06,8.63E-08,2.79E-05,4.99E+06,1.22E-06,SAFE
125,1.31E-06,1.08E-07,3.48E-05,6.24E+06,1.90E-06,SAFE
150,1.57E-06,1.29E-07,4.18E-05,7.49E+06,2.74E-06,SAFE
175,1.83E-06,1.51E-07,4.88E-05,8.74E+06,3.72E-06,WARNING
200,2.09E-06,1.73E-07,5.57E-05,9.99E+06,4.86E-06,WARNING
225,2.35E-06,1.94E-07,6.27E-05,1.12E+07,6.16E-06,WARNING
250,2.61E-06,2.16E-07,6.96E-05,1.25E+07,7.60E-06,WARNING
275,2.87E-06,2.37E-07,7.66E-05,1.37E+07,9.20E-06,WARNING
300,3.13E-06,2.59E-07,8.36E-05,1.50E+07,1.09E-05,WARNING
350,3.66E-06,3.02E-07,9.75E-05,1.75E+07,1.49E-05,CRITICAL
400,4.18E-06,3.45E-07,0.00011143,2.00E+07,1.95E-05,CRITICAL
450,4.70E-06,3.88E-07,0.00012536,2.25E+07,2.46E-05,CRITICAL
500,5.33E-06,4.31E-07,0.00013929,2.50E+07,3.04E-05,CRITICAL
