TORQUE,TOT_DEF,DIRECT_DEF,EQV_STR,EQV_STRESS,STR_ENERGY,CONDITION
50,0.00010797,0.00000042893,0.00011652,22456000,0.00018209,SAFE
75,0.00016195,0.00000064339,0.00017477,33685000,0.00040969,SAFE
100,0.00021593,0.00000085786,0.00023303,44913000,0.00072835,SAFE
125,0.00026991,0.0000010723,0.00029129,56141000,0.001138,SAFE
150,0.0003239,0.0000012868,0.00034955,67369000,0.0016388,SAFE
175,0.00037788,0.0000015012,0.0004078,78597000,0.0022306,SAFE
200,0.00043186,0.0000017157,0.00046606,89826000,0.0029134,SAFE
225,0.00048585,0.0000019302,0.00052432,101050000,0.0036873,WARNING
250,0.00053983,0.0000021446,0.00058258,112280000,0.0045522,WARNING
275,0.00059381,0.0000023591,0.00064083,123510000,0.0055081,WARNING
300,0.0006478,0.00000257,0.00069909,134740000,0.0065551,WARNING
350,0.00075576,0.0000030025,0.00081561,157190000,0.0089222,WARNING
450,0.00097169,0.0000038603,0.0010486,202110000,0.014749,FAILURE
